population	model	date	rep	h	S_allsites	W_meanFitness	L_mutationLoad	generation
AK	1D.5Epoch	20191203	1	0	0.248638573794131	0.779861784940625	0.220138215059375	0
AK	1D.5Epoch	20191203	1	0	0.255930249194779	0.774195967701139	0.225804032298861	2
AK	1D.5Epoch	20191203	1	0	0.260797399386603	0.770436994811813	0.229563005188187	4
AK	1D.5Epoch	20191203	1	0	0.268757953042381	0.764328236584547	0.235671763415453	6
AK	1D.5Epoch	20191203	1	0	0.279232689496856	0.756363884805229	0.243636115194771	8
AK	1D.5Epoch	20191203	1	0	0.284935123709266	0.752063043797405	0.247936956202595	10
AK	1D.5Epoch	20191203	1	0	0.292745715266717	0.746211866859503	0.253788133140497	12
AK	1D.5Epoch	20191203	1	0	0.298244219080508	0.742120077731844	0.257879922268156	14
AK	1D.5Epoch	20191203	1	0	0.305430120268274	0.736806390863491	0.263193609136509	16
AK	1D.5Epoch	20191203	1	0	0.313089654762541	0.731184355470409	0.268815644529591	18
AK	1D.5Epoch	20191203	1	0	0.316316411118106	0.728828804143238	0.271171195856762	20
AK	1D.5Epoch	20191203	1	0	0.325348570929826	0.722275545499637	0.277724454500363	22
AK	1D.5Epoch	20191203	1	0	0.33014471048635	0.718819705155985	0.281180294844015	24
AK	1D.5Epoch	20191203	1	0	0.334274338253736	0.71585736822618	0.28414263177382	26
AK	1D.5Epoch	20191203	1	0	0.345837228365286	0.707627659443749	0.292372340556251	28
AK	1D.5Epoch	20191203	1	0	0.351583711054325	0.703572950663276	0.296427049336724	30
AK	1D.5Epoch	20191203	1	0	0.353961703068624	0.701901847527564	0.298098152472436	32
AK	1D.5Epoch	20191203	1	0	0.355769777375402	0.700633903445152	0.299366096554848	34
AK	1D.5Epoch	20191203	1	0	0.364685031561227	0.694415335350853	0.305584664649147	36
AK	1D.5Epoch	20191203	1	0	0.362418524030794	0.695991017911338	0.304008982088662	38
AK	1D.5Epoch	20191203	1	0	0.36015664352918	0.697567048148153	0.302432951851847	40
